file,len_A,len_B,cells,avg_runtime_ms,min_runtime_ms,max_runtime_ms
test1.in,79,54,4266,23.437668718397617,6.836055981693789,409.79651498491876
test10.in,78,84,6552,7.0310597226489335,6.8645760184153914,7.224684988614172
test2.in,86,41,3526,7.169017799897119,6.926513015059754,8.502687007421628
test3.in,75,100,7500,7.190894240047783,6.935265992069617,8.2082650042139
test4.in,96,111,10656,10.105221638223156,7.104017015080899,14.84116999199614
test5.in,30,92,2760,7.182843799237162,6.976702017709613,7.938744995044544
test6.in,33,73,2409,7.036321118939668,6.820365000749007,7.32230200082995
test7.in,108,37,3996,6.962947122519836,6.837054999778047,7.154365011956543
test8.in,98,88,8624,7.1589271211996675,6.913370016263798,7.9694780288264155
test9.in,34,104,3536,6.965285480255261,6.831364997196943,7.309030013857409
